Product Name,Category,Price,Original Price,Product Link,Image URLs,Sizes,Review||Reviewers
Nike Air Force 1,Older Kids' Shoes,Rp1038000,Rp1219000,https://www.nike.com/id/t/air-force-1-older-shoes-w6PsF3/CT3839-104,,,Review data not available
Jordan 23/7,Younger Kids' Shoes,Rp909000,-,https://www.nike.com/id/t/jordan-23-7-younger-shoes-PZzSPR/FD8787-601,,,Review data not available
Nike Blazer Mid '77 Dance,Older Kids' Shoes,Rp1219000,-,https://www.nike.com/id/t/blazer-mid-77-dance-older-shoes-1Cv7jt/DQ6084-800,,,Review data not available
NikeCourt Legacy,Older Kids' Shoes,Rp649000,-,https://www.nike.com/id/t/nikecourt-legacy-older-shoes-dBCJpZ/DA5380-002,,,Review data not available
Nike Kawa,Younger/Older Kids' Slides,Rp349000,-,https://www.nike.com/id/t/kawa-younger-older-slides-yATYZXRb/819352-001,,,Review data not available
Nike Air Max 90 Toggle,Baby/Toddler Shoes,Rp818000,Rp959000,https://www.nike.com/id/t/air-max-90-toggle-shoes-9t7HhF/CV0065-102,,,Review data not available
Nike Pico 5,Younger Kids' Shoes,Rp499000,-,https://www.nike.com/id/t/pico-5-younger-shoes-0TcL7z/AR4161-105,,,Review data not available
Air Jordan 6 Retro,Older Kids' Shoes,Rp2059000,-,https://www.nike.com/id/t/air-jordan-6-retro-older-shoes-x3z2WR/384665-600,,,Review data not available
Nike Sunray Protect 2,Younger Kids' Sandals,Rp398000,Rp469000,https://www.nike.com/id/t/sunray-protect-2-younger-sandals-kxrqx3/943826-605,,,Review data not available
Jordan 1 Low Alt,Baby/Toddler Shoes,Rp729000,-,https://www.nike.com/id/t/jordan-1-low-alt-shoes-vtlr9W/DZ6956-160,,,Review data not available
NikeCourt Legacy,Baby/Toddler Shoes,Rp469000,-,https://www.nike.com/id/t/nikecourt-legacy-shoes-3MMGC9/DA5382-118,,,Review data not available
Nike Air Max 90 LTR,Baby/Toddler Shoes,Rp748000,Rp879000,https://www.nike.com/id/t/air-max-90-ltr-shoes-w1xd13/CD6868-009,,,Review data not available
Nike Blazer Mid Next Nature,Older Kids' Shoes,Rp1129000,-,https://www.nike.com/id/t/blazer-mid-next-nature-older-shoes-txw4JN/FJ4670-100,,,Review data not available
Nike Star Runner 4 SE,Older Kids' Shoes,Rp909000,-,https://www.nike.com/id/t/star-runner-4-se-older-shoes-j9G4bW/FJ1805-300,,,Review data not available
Air Jordan 3 Retro,Older Kids' Shoes,Rp2059000,-,https://www.nike.com/id/t/air-jordan-3-retro-older-shoes-dlXfVG/DX6665-100,,,Review data not available
